190.570.568.680,0968686868,abc123!,192564542,Phan Nhat,1000,5,nhatphan99@gmail.com,ACTIVE
190.570.668.680,0988888888,abc123!,201125454,Nguyen Minh Tri,11000,0,tri.nguyen20@gmail.com,ACTIVE
190.570.768.680,0900000001,abc123!,202564876,Phan Nhat Thanh,2000,2,nhatthanh.20@gmail.com,ACTIVE
190.570.868.680,0965432168,abc123!,043392564542,Pham My Hanh,1000,3,hanhmy.199@gmail.com,LOCKED
190.570.968.680,0987654321,abc123!,194564548,Bui Minh Thanh,50,3,minhthanh.220@gmail.com,LOCKED
190.570.068.680,0965414617,abc123!,199864542,Tran Le Le,1000,1,tranle.2320@gmail.com,ACTIVE
190.570.168.680,0909876261,abc123!,040969256542,Ha Ha,2000,0,nhatv.1010@gmail.com.vn,ACTIVE
190.570.268.680,0902011922,abc123!,042192564542,Le Nhat Nhat,20100,6,nhatnha.2000@gmail.com,LOCKED
190.570.468.680,0365454321,abc123!,201543322,Phan Gia Thy,1000,2,thy.phan2@gmail.com.vn,ACTIVE
190.570.368.680,0798767654,abc123!,043987123456,Phan My,0,3,mymy.88@gmail.com,ACTIVE
